id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3599,775.0,2190.4,637.7,56.900000000000006,1786.2999999999997,456.0,1256.6,8018.399999999998
3600,35.0,21.0,3.5,3.5,17.5,7.0,10.5,101.5
3601,134.0,100.6,44.4,16.4,263.0,217.0,375.0,834.8
3602,421.0,1312.2,342.9,62.0,703.9,170.59999999999997,512.3,2846.9
3603,134.0,153.8,0.0,0.0,254.0,197.2,342.1,1219.0
3604,437.0,266.79999999999995,227.0,160.20000000000002,782.4000000000001,758.3,1371.3,2164.2
3605,918.0,1590.1999999999998,658.6,630.1999999999999,2706.4000000000005,2423.7,6472.799999999999,14907.6
3606,81.0,113.39999999999999,48.6,24.3,186.29999999999998,113.39999999999999,178.20000000000002,639.9
3607,45.0,130.5,49.50000000000001,9.0,125.99999999999999,27.0,49.50000000000001,387.0
3608,607.0,686.9,641.9000000000001,91.8,2241.1000000000004,1265.0,2481.9,6551.5
3609,1210.0,2096.4,524.4000000000001,495.9000000000001,2624.5000000000005,2542.3,5336.799999999999,13188.1
3610,586.0,1150.4,0.0,0.0,2125.1,0.0,0.0,6363.400000000001
3611,652.0,2518.1000000000004,358.40000000000003,69.00000000000001,1236.9,224.70000000000002,739.7,7177.8
3612,11.0,0.0,0.0,0.0,7.699999999999999,0.0,0.0,9.9
3613,9.0,2.6999999999999997,0.0,0.0,1.8,0.0,0.0,17.099999999999998
3614,971.0,7288.0999999999985,0.0,0.0,2798.4,0.0,0.0,10815.8
3615,911.0,1589.0000000000002,615.4000000000001,519.9000000000001,2844.1000000000004,4333.300000000001,7624.9,6694.900000000001
3616,419.0,1402.2,260.4,20.0,532.9000000000001,145.0,471.7,2187.7
3617,66.0,21.5,13.200000000000001,11.5,54.3,36.2,55.8,129.0
3618,319.0,202.6,139.20000000000002,244.99999999999997,553.2,530.0,798.7,2307.1000000000004
3619,18.0,14.4,12.6,5.3999999999999995,34.199999999999996,37.800000000000004,57.6,136.79999999999998
3620,69.0,29.4,13.8,11.4,91.5,38.699999999999996,64.2,251.4
3621,26.0,10.4,7.8,2.6,33.800000000000004,5.2,5.2,98.8
3622,1001.0,1926.9,975.0,509.59999999999997,3083.4000000000005,1465.0999999999997,3006.8,10829.7
3623,152.0,60.8,34.599999999999994,219.29999999999998,285.5,186.70000000000002,312.59999999999997,669.1
3624,40.0,16.0,0.0,0.0,52.0,16.0,32.0,84.0
3625,84.0,179.5,0.0,0.0,194.60000000000002,0.0,0.0,630.7
3626,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
3627,168.0,344.5,0.0,0.0,344.0,0.0,0.0,821.1
3628,282.0,678.5000000000001,0.0,0.0,492.00000000000006,0.0,0.0,1402.6000000000001
3629,1156.0,657.0000000000001,515.6999999999999,2542.1,3364.0,2149.0,4614.700000000001,6245.999999999999
3630,368.0,1227.8999999999999,302.1,42.60000000000001,473.6,90.9,396.6,2142.5
3631,893.0,7515.9,1501.5,125.6,1979.2,928.0000000000001,3444.0000000000005,9173.500000000002
3632,28.0,11.200000000000001,0.0,0.0,22.400000000000002,11.200000000000001,19.599999999999998,84.0
3633,869.0,702.9,296.0,549.2,1895.9000000000003,1045.7,2177.1000000000004,5244.8
3634,577.0,3125.8,418.1,187.19999999999996,743.7999999999998,480.00000000000006,1467.9,10616.3
3635,1144.0,4394.699999999999,897.0999999999997,395.8,2998.4,577.9999999999999,3456.6,16816.6
3636,927.0,771.8000000000001,545.4,310.4,2160.3,1313.6000000000001,2485.7000000000003,5665.3
3637,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3638,51.0,25.5,0.0,0.0,66.3,0.0,0.0,147.9
3639,82.0,27.000000000000004,0.0,0.0,57.39999999999999,0.0,0.0,340.5
3640,120.0,72.0,0.0,0.0,346.8,0.0,0.0,766.6999999999999
3641,85.0,170.29999999999998,0.0,0.0,202.5,0.0,0.0,573.0
